,IATA Code,ICAO Code,Air Carrier Name
0,ZW,AWI,Air Wisconsin
1,AS,ASA,Alaska Airlines
2,G4,AAY,Allegiant Air LLC
3,AA,AAL,American Airlines
4,C5,UCA,Champlain Air
5,CP,CPZ,Compass Airlines
6,DL,DAL,"Delta Air Lines, Inc."
7,EM,CFS,Empire Airline
8,9E,EDV,Endeavor Air
9,MQ,ENY,Envoy Air
10,EV,ASQ,ExpressJet Airlines
11,F9,FFT,"Frontier Airlines, Inc."
12,G7,GJS,GoJet Airlines
13,HA,HAL,Hawaiian Airlines Inc.
14,QX,QXE,Horizon Air
15,B6,JBU,Jetblue Airways Corporation
16,OH,JIA,Jetstream Intl
17,YV,ASH,"Mesa Airlines, Inc."
18,KS,NLA,Penair
19,PT,PDT,Piedmont Airlines
20,YX,RPA,Republic Airlines
21,OO,SKW,Skywest Airlines
22,WN,SWA,Southwest Airlines
23,NK,NKS,"Spirit Airlines, Inc."
24,AX,LOF,Trans State
25,UA,UAL,"United Airlines, Inc."
